age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
,Private,12,37,High school graduate,1,Not in universe,Married-civilian spouse present,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,PT for non-econ reasons usually FT,0,0,3,Joint both under 65,Not in universe,Missouri,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
, Not in universe,0,0, 9th grade,0, High school, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, New entrant, Not in labor force,4,0,8, Nonfiler, Not in universe,Massachusetts, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
,Private,32,44,High school graduate,0,Not in universe,Never married,Agriculture,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,3,Single,Not in universe,Kansas,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
,Private,33,43,Some college but no degree,1,Not in universe,Never married,Retail trade,Sales,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,7,Single,Northeast,Montana,Child 18+ never marr Not in a subfamily,Child under 18 never married,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
, Private,36,25, 10th grade,0, Not in universe, Never married, Retail trade, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,8,0,1, Nonfiler, Not in universe,Massachusetts, Child <18 never marr not in subfamily, Child under 18 never married, Yes,1, Both parents present, Guatemala, United-States, United-States, Native- Born in the United States,0, Not in universe,2,26,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Northeast,Maine, Child 18+ never marr Not in a subfamily, Child 18 or older, No,0, Not in universe,Honduras, India, El-Salvador, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94,0
, Not in universe,0,0, 9th grade,0, Not in universe, Married-spouse absent, Not in universe or children, Farming forestry and fishing, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces,1,0,10, Nonfiler, Not in universe,Hawaii, Other Rel 18+ ever marr RP of subfamily, Nonrelative of householder, No,0, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94,0
, Private,30,36, High school graduate,0, Not in universe, Married-civilian spouse present, Social services, Precision production craft & repair, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe,Virginia, Householder, Householder, Yes,6, Not in universe, El-Salvador, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,94,1
,Private,30,25,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Executive admin and managerial,Black,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,2,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
,Private,43,26,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Indiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,Not in universe,2,48,95,0
,Private,33,25,Some college but no degree,0,Not in universe,Never married,Finance insurance and real estate,Adm support including clerical,White,All other,Female,No,Not in universe,PT for non-econ reasons usually FT,0,0,7,Joint both under 65,Not in universe,Colorado,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
,Private,42,26,Doctorate degree(PhD EdD),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,Central or South American,Male,No,Not in universe,Full-time schedules,14718,0,1,Joint both under 65,Not in universe,Vermont,Householder,Householder,Not in universe under 1 year old,6,Not in universe,China,China,China,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,1
,Private,10,1,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Widowed,Manufacturing-durable goods,Executive admin and managerial,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Full-time schedules,1,0,0,Single,Northeast,Maine,Secondary individual,Nonrelative of householder,No,5,Not in universe, Cambodia, Guatemala,El-Salvador,Foreign born- U S citizen by naturalization,2,Not in universe,2,52,95,1
,Private,33,26,High school graduate,0,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Full-time schedules,6,0,6,Joint both under 65,Not in universe,Alaska,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
, Not in universe,0,0, 10th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,2,0,0, Nonfiler, West,Texas, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
,Private,10,2,Some college but no degree,0,College or university,Never married,Retail trade,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Single, Northeast,Wyoming,Child 18+ never marr Not in a subfamily,Child 18 or older,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
, Not in universe,0,0, 5th or 6th grade,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,2,0,9, Joint both under 65, Not in universe,Colorado, Householder, Householder, Not in universe under 1 year old,0, Not in universe, ?, ?, ?, Foreign born- U S citizen by naturalization,2, Not in universe,2,12,95,0
,Private,9,39,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Machine operators assmblrs & inspctrs,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,3,0,5,Joint both under 65,Not in universe,Michigan,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
, Private,35,2, High school graduate,643, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, No, Not in universe, Full-time schedules,0,0,3, Joint both under 65, Not in universe,Mississippi, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Italy, Jamaica,Jamaica, Foreign born- Not a citizen of U S ,2, Not in universe,2,52,95,1
, State government,37,11, High school graduate,0, Not in universe, Never married, Hospital services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,759, Single, Not in universe,North Carolina, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Local government,43,11,Doctorate degree(PhD EdD),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Male,Yes,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Georgia,Householder,Householder,Yes,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
,Private,33,24,Some college but no degree,0,Not in universe,Never married,Retail trade,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Unemployed full-time,0,0,3,Single,Not in universe,Ohio,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
, Private,43,0, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Widowed, Medical except hospital, Not in universe, White, All other, Male, Not in universe, Not in universe, Full-time schedules,4,0,5911, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Other Spanish,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Nonfiler,Not in universe,Michigan,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
,Private,36,3,Some college but no degree,0,Not in universe,Never married,Finance insurance and real estate,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,1,Single,Not in universe,Pennsylvania,Nonfamily householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,13,0,5, Nonfiler, Not in universe,North Carolina, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Guatemala, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
, Private,33,17, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, No, Not in universe, Children or Armed Forces,6,0,2, Joint both under 65, Not in universe,Mississippi, Householder, Spouse of householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
, Private,43,37, High school graduate,0, Not in universe, Divorced, Construction, Technicians and related support, White, All other, Male, No, Not in universe, Full-time schedules,0,0,2, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,1,52,95,0
,Private,4,34,High school graduate,0,Not in universe,Never married,Manufacturing-durable goods,Machine operators assmblrs & inspctrs,Amer Indian Aleut or Eskimo,All other,Male,Not in universe, Other job loser,Children or Armed Forces,0,0,1,Single,Not in universe,Georgia,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,25,94,0
,Private,32,43,10th grade,681,High school,Never married,Retail trade,Handlers equip cleaners etc,Black,All other,Female,Not in universe,Other job loser,Unemployed part- time,0,0,6,Single,Not in universe,New Mexico,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,6,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,12,95,0
,Private,33,29,High school graduate,0,College or university,Never married,Retail trade,Other service,White,All other,Male,Not in universe,Re-entrant,Full-time schedules,0,0,1,Single,Not in universe,Michigan,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,26,95,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,8,Nonfiler,Not in universe,Tennessee,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
, Not in universe,0,0, 10th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,2,0,3, Nonfiler, Not in universe,Florida, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
, Not in universe,0,0, High school graduate,1, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Amer Indian Aleut or Eskimo, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4,0,8, Joint both 65+, Not in universe,Oregon, Householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,7, Joint both under 65, Not in universe,California, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,0,95,0
,Not in universe,0,0,9th grade,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,4,0,1,Nonfiler,Not in universe,Georgia,Spouse of householder,Child 18 or older,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
,Private,30,31,Some college but no degree,503,Not in universe,Never married,Manufacturing-durable goods,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Midwest,Vermont, Child 18+ never marr RP of subfamily,Child 18 or older,No,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,49,94,0
,Federal government,28,38,Bachelors degree(BA AB BS),1941,Not in universe,Married-civilian spouse present,Transportation,Machine operators assmblrs & inspctrs,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,0,Joint both under 65,Not in universe,Texas,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
,Not in universe,0,0,Children,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,4,Nonfiler,Not in universe,Rhode Island,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,29,16,High school graduate,0,Not in universe,Divorced,Finance insurance and real estate,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Indiana,Householder,Householder,Yes,6,Not in universe,Italy,Greece,Germany,Foreign born- U S citizen by naturalization,0,Not in universe,2,19,94,0
,Local government,30,31,High school graduate,1983,Not in universe,Married-civilian spouse present,Transportation,Transportation and material moving,Black,All other,Male,Yes,Not in universe,Children or Armed Forces,3,0,3,Joint both under 65,Not in universe,Illinois,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
,Private,37,26,5th or 6th grade,0,Not in universe,Married-civilian spouse present,Business and repair services,Adm support including clerical,White,Mexican (Mexicano),Female,Not in universe,Not in universe,Unemployed part- time,0,0,9,Joint both under 65,Not in universe,California,Spouse of householder,Spouse of householder,Yes,0,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,26,95,0
,Not in universe,0,0,7th and 8th grade,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Nonfiler,Not in universe,Illinois,Child <18 never marr not in subfamily,Child 18 or older,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, South,Virginia, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Children or Armed Forces,5,0,9,Nonfiler,Not in universe,Louisiana,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,10,36,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Machine operators assmblrs & inspctrs,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,6,1,1,Joint both under 65,Not in universe,West Virginia,Spouse of householder,Spouse of householder,Yes,3,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,40,94,0
,Private,30,34,Some college but no degree,0,Not in universe,Divorced,Transportation,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,PT for non-econ reasons usually FT,3,0,0,Single,Not in universe,Louisiana,Householder,Householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,No,2,19,95,0
,Private,42,32,Some college but no degree,0,Not in universe,Never married,Retail trade, Technicians and related support,White,All other,Female,Yes,Not in universe,Children or Armed Forces,2,0,3,Single,Not in universe,New York,Householder,Child 18 or older,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,38,94,0
,Private,39,26,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Private household services,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Unemployed full-time,5,0,5,Joint both under 65,Not in universe,Nebraska,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,Poland,United-States,United-States,Native- Born in the United States,0,Not in universe,2,13,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,11,0,9, Nonfiler, Not in universe,Florida, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, ?, ?, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Private,33,29,9th grade,0,High school,Never married,Retail trade,Other service,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,4,Single,Not in universe,Connecticut,Child <18 never marr not in subfamily,Child under 18 never married,Yes,2,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,38,94,0
, Private,30,26, Some college but no degree,0, Not in universe, Divorced, Education, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,4,0,5, Joint both under 65, South,Kentucky, Householder, Householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
,Federal government,49,25,High school graduate,0,Not in universe, Married-A F spouse present,Public administration,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,1,0,Joint both under 65,Not in universe,Washington,Spouse of householder,Spouse of householder,Not in universe under 1 year old,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
, Private,29,2, 9th grade,1, Not in universe, Married-civilian spouse present, Construction, Protective services, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Not in universe,Kentucky, Householder, Householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
,Private,36,33,High school graduate,0,Not in universe,Married-civilian spouse present,Hospital services,Sales,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,2,0,748,Joint one under 65 & one 65+,Not in universe,Kansas,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,3, Nonfiler, Not in universe,California, Other Rel <18 never marr child of subfamily RP, Other relative of householder, Yes,0, Neither parent present, Taiwan, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Not in universe,0,0, 10th grade,0, Not in universe, Never married,Mining, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, South,Texas, Child <18 never marr not in subfamily, Other relative of householder, No,0, Both parents present, England, Mexico, United-States, Native- Born in the United States,0, Not in universe,2,4,94,0
,Private,34,25,High school graduate,494,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,All other,Female,No,Not in universe,Children or Armed Forces,11,0,8,Joint both under 65,Not in universe,New Mexico,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,36,94,0
,Not in universe,0,0,7th and 8th grade,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Central or South American,Female,Not in universe,Not in universe,Not in labor force,0,0,4,Nonfiler,Not in universe,Maryland,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Mexico,Mexico,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
, Private,33,31, Some college but no degree,0, Not in universe, Separated, Education, Other service, White, All other, Female, No, Other job loser, Full-time schedules,0,0,10, Joint both under 65, Not in universe,Michigan, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,1
,Private,30,32,10th grade,0,Not in universe,Married-civilian spouse present,Business and repair services,Executive admin and managerial,White,Cuban,Male,Not in universe,Not in universe,Children or Armed Forces,11,0,0,Joint both under 65,Northeast,Maryland,Householder,Householder,Yes,1,Not in universe,Italy,,India,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,94,1
,Not in universe,0,0,High school graduate,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,0,Nonfiler,Not in universe,Wisconsin,Householder,Child 18 or older,Yes,0,Not in universe,Taiwan,,France,Foreign born- Not a citizen of U S,0,Not in universe,2,0,94,0
, Not in universe,0,0, Bachelors degree(BA AB BS),1, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,5,0,12, Joint both 65+, Not in universe,Minnesota, Householder, Householder, Yes,0, Not in universe, Italy, Canada, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Children or Armed Forces,2,0,4,Nonfiler,Not in universe,Missouri,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Laos,Guatemala,South Korea,Native- Born abroad of American Parent(s),0,Not in universe,0,0,95,0
, Private,33,2, Bachelors degree(BA AB BS),0, Not in universe, Never married, Retail trade, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,8, Single, Not in universe,Mississippi, Secondary individual, Householder, Yes,5, Not in universe, China, Ireland, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,0
,Private,38,25,High school graduate,460,Not in universe,Married-civilian spouse present,Transportation,Adm support including clerical,White,All other,Female,No,Not in universe,Children or Armed Forces,0,0,9,Joint both under 65,Not in universe,Idaho,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,36,94,0
,Not in universe,0,0,7th and 8th grade,0,Not in universe,Divorced,Not in universe or children,Not in universe,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,0,Nonfiler,Not in universe,Hawaii,Householder,Householder,Yes,0,Not in universe,Mexico,Taiwan,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,0,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,6,Nonfiler,Not in universe,South Carolina,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Vietnam,Philippines,Philippines,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Amer Indian Aleut or Eskimo,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,Not in universe,Hawaii,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
,Private,30,36,High school graduate,0,Not in universe,Married-civilian spouse present,Retail trade,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,2,Joint both under 65,Not in universe,California,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,7,Nonfiler,West,Colorado,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
,Private,43,26,10th grade,497,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,Mexican-American,Female,Not in universe,Not in universe,Full-time schedules,1,1,9,Joint both under 65,Not in universe,Nevada,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,38,95,0
,Private,29,2,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Utilities and sanitary services,Professional specialty,White,Cuban,Male,Not in universe,Not in universe,Children or Armed Forces,7625,1,4,Joint both under 65,Not in universe,Missouri,Householder,Householder,Yes,1,Not in universe,Peru,,,Native- Born abroad of American Parent(s),0,Not in universe,2,52,94,0
, Private,12,2, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, No, Not in universe, Full-time schedules,0,0,9, Joint both under 65, Not in universe,Georgia, Secondary individual, Nonrelative of householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
,Private,34,26,10th grade,0,College or university,Never married,Retail trade,Adm support including clerical,White,Mexican-American,Female,No,Not in universe,Children or Armed Forces,0,0,5,Single,Midwest,Kentucky,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,3,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
,Not in universe,0,0,High school graduate,0,College or university,Never married,Not in universe or children,Not in universe,Black,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,Not in universe,Michigan,Grandchild 18+ never marr not in subfamily,Child 18 or older,Yes,0,Not in universe,England,Ireland,,Native- Born abroad of American Parent(s),2,Not in universe,2,0,94,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,3,0,1,Nonfiler,Not in universe,Connecticut,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
, Not in universe,0,30, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,12,0,3, Nonfiler, Not in universe,Rhode Island, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Private,3,37, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Transportation and material moving, White, All other, Female, Not in universe, Job loser - on layoff, Unemployed full-time,9,0,5, Joint both under 65, Not in universe,Illinois, Householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,19,95,1
